Benchmark,L1_count,L2_count,L3_count,Total_runs,Mode_tier,Distinct_tiers
SWE-bench Verified,0,48,2,50,L2,2
SWE-bench Multilingual,0,3,47,50,L3,2
SWE-bench Pro,0,32,18,50,L2,2
Terminal-Bench 2.0,0,37,13,50,L2,2
BrowseComp,0,50,0,50,L2,1
τ2-bench,0,0,50,50,L3,1
OSWorld,0,50,0,50,L2,1
ARC-AGI-2,0,0,50,50,L3,1
Vending-Bench 2,0,43,7,50,L2,2
MCP-Atlas,0,39,11,50,L2,2
FinanceAgent,0,50,0,50,L2,1
CyberGym,0,43,7,50,L2,2
SpreadsheetBench,0,50,0,50,L2,1
Humanity’s Last Exam,0,50,0,50,L2,1
AIME 2025,0,50,0,50,L2,1
GPQA Diamond,0,50,0,50,L2,1
MMMLU,0,46,4,50,L2,2
MMMU,0,50,0,50,L2,1
LAB-Bench FigQA,0,50,0,50,L2,1
WebArena,0,47,3,50,L2,2
