Benchmark,L1_count,L2_count,L3_count,Total_runs,Mode_tier,Distinct_tiers
SWE-bench Verified,0,25,0,25,L2,1
Terminal-Bench 2.0,0,25,0,25,L2,1
BrowseComp,0,25,0,25,L2,1
τ2-bench,0,0,25,25,L3,1
OSWorld,0,25,0,25,L2,1
ARC-AGI,0,0,25,25,L3,1
Vending-Bench 2,0,22,3,25,L2,2
MCP-Atlas,0,25,0,25,L2,1
FinanceAgent,0,25,0,25,L2,1
CyberGym,0,25,0,25,L2,1
SpreadsheetBench,0,25,0,25,L2,1
Humanity’s Last Exam,0,25,0,25,L2,1
AIME 2025,0,24,1,25,L2,2
GPQA Diamond,0,25,0,25,L2,1
MMMLU,0,25,0,25,L2,1
MMMU,0,25,0,25,L2,1
LAB-Bench FigQA,0,25,0,25,L2,1
CharXiv Reasoning,0,25,0,25,L2,1
Video-MMMU,0,10,15,25,L3,2
FACTS Benchmark Suite,0,4,21,25,L3,2
Global PIQA,0,25,0,25,L2,1
MRCR v2 (8-needle),0,25,0,25,L2,1
GDPval,0,25,0,25,L2,1
Graphwalks,0,25,0,25,L2,1
Toolathon,0,25,0,25,L2,1
FrontierMath,0,19,6,25,L2,2
