Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,SWE-bench Verified evaluates software engineering agents by asking them to produce patches that fix real issues in open-source Python repositories. The “Verified” subset consists of tasks confirmed by human engineers to be solvable and is typically scored by whether the patch passes tests and meets the issue requirements.,"L1: Language Comprehension, Language Production
L2: Planning, Logical Reasoning, Adaptive Error Correction, Working Memory
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching beyond Python, covering multiple programming languages and ecosystems. It tests whether a model can understand problem statements, navigate unfamiliar codebases, and implement correct fixes under varying language/tooling conventions.","L1: Language Comprehension, Language Production
L2: Planning, Logical Reasoning, Adaptive Error Correction, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more challenging software engineering benchmark designed to better reflect real industrial tasks across multiple languages and more complex repos. It emphasizes robust end-to-end issue resolution, including locating relevant files, implementing correct changes, and satisfying evaluation tests.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Logical Reasoning, Adaptive Error Correction, Working Memory
L3: Cognitive Flexibility",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance on real command-line tasks in sandboxed environments (e.g., debugging, building, scripting, and system operations). It probes whether agents can iteratively execute commands, interpret outputs/errors, and converge on a working solution under resource and time constraints.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” agents that must gather evidence across documents and synthesize answers, typically using browsing/search tools and long-context reasoning. The benchmark targets end-to-end research behavior: query planning, evidence aggregation, and producing grounded final responses.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Episodic Memory, Semantic Understanding & Context Recognition, Working Memory
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench (Tau²-bench) measures how well an agent completes multi-turn, tool-using customer support tasks while following domain policies (e.g., retail, airline, telecom). It stresses reliable API/tool calling, policy adherence, and conversational coordination across long interactions with a simulated user.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control, Social Reasoning & Theory of Mind",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents operating in desktop-like environments, requiring screenshot/GUI understanding plus tool actions (mouse/keyboard) to complete tasks. It targets grounded interaction: perceiving UI state, choosing actions, recovering from errors, and completing multi-step workflows.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: ",L2
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests abstract pattern induction from a few input-output grid examples, requiring the model to infer a latent rule and apply it to a new grid. It is designed to emphasize “fluid” reasoning and generalization rather than memorized knowledge.","L1: Visual Perception
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and business planning in a simulated vending-machine company over many sequential decisions (inventory, pricing, supplier negotiation, adaptation). Success depends on maintaining strategy over time, reacting to feedback, and managing resources under uncertainty.","L1: 
L2: Planning, Decision-making, Reward Mechanisms, Working Memory, Adaptive Error Correction
L3: Self-reflection",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), where agents must discover appropriate tools, call them correctly, and compose multi-step workflows across services. It emphasizes execution reliability, handling tool failures, and synthesizing tool outputs into correct answers.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: ",L2
