Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,SWE-bench Verified evaluates autonomous software engineering by asking a model to generate patches that fix real issues in open-source Python repositories. The “Verified” subset uses human-validated tasks and stricter checking to ensure the reported solutions truly resolve the issue and tests pass.,"Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Language Comprehension, Language Production"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures an agent’s ability to complete real-world tasks in a command-line environment, such as installing dependencies, running programs, debugging failures, and manipulating files. It emphasizes iterative troubleshooting under tool constraints and noisy system feedback.","Planning, Adaptive Error Correction, Decision-making, Working Memory, Language Comprehension, Language Production"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates tool-using customer-support agents in simulated domains (e.g., retail, airline, telecom) where the model must converse with a user and call APIs while following domain policies. It stresses multi-turn consistency, correct procedural execution, and adherence to constraints despite user pressure and edge cases.","Social Reasoning & Theory of Mind, Language Comprehension, Language Production, Planning, Decision-making, Inhibitory Control, Working Memory, Empathy"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI tests fluid reasoning on novel grid-transformation puzzles: the model infers an underlying rule from a few input–output examples and applies it to a new input. The benchmark is designed to reduce reliance on memorized knowledge and reward systematic abstraction and generalization.,"Logical Reasoning, Cognitive Flexibility, Working Memory, Spatial Representation & Mapping, Visual Perception, Scene Understanding & Visual Reasoning"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and strategy by simulating the operation of a vending machine business over extended time (e.g., a year). The agent must manage inventory, pricing, supplier interactions, and changing conditions to maximize final profit/balance.","Planning, Decision-making, Working Memory, Reward Mechanisms, Adaptive Error Correction, Language Comprehension, Language Production"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a frontier, often multimodal benchmark spanning expert-level questions across many domains where answers require nontrivial reasoning and synthesis rather than rote recall. It is frequently used to compare tool-free performance versus tool-augmented settings (e.g., search/code), highlighting end-to-end problem solving.","Language Comprehension, Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Planning, Multisensory Integration, Visual Perception"
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 uses problems from the American Invitational Mathematics Examination, requiring multi-step mathematical reasoning with precise final numeric answers. It is commonly evaluated both without tools and with calculation tools to separate reasoning from arithmetic execution.","Logical Reasoning, Working Memory, Planning, Adaptive Error Correction, Language Comprehension"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-quality subset of graduate-level, Google-resistant multiple-choice science questions (physics, chemistry, biology). It targets deep conceptual understanding and careful discrimination among close distractors under strict answer formats.","Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Language Comprehension, Decision-making"
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends broad academic testing to many languages, measuring knowledge and reasoning across subjects under multilingual prompts. It probes whether models can preserve correctness and nuanced understanding across translation and culturally varied formulations.","Language Comprehension, Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Cognitive Flexibility"
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a multimodal benchmark emphasizing expert-level perception-plus-reasoning over images and text across many disciplines. Compared with earlier MMMU settings, it is designed to be more challenging and better reflect real analysis of diagrams, figures, and visual evidence.","Visual Perception, Scene Understanding & Visual Reasoning, Multisensory Integration, Language Comprehension, Logical Reasoning, Working Memory, Visual Attention & Eye Movements"
