Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring them to generate patches that make a project’s tests pass. The “Verified” subset adds stronger task validity checks (e.g., solvable by humans, reliable evaluation) to reduce spurious passes and better reflect end-to-end debugging and code-change skill.","L1: Language Comprehension, Language Production
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction
L3: ",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures an agent’s ability to solve realistic tasks in a command-line environment, typically involving multi-step operations such as file manipulation, package/tool usage, debugging, and system inspection. It stresses reliable action sequencing under partial feedback, where intermediate mistakes must be detected and corrected to reach a working final state.","L1: Language Comprehension
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates interactive, tool-using customer-support agents in simulated domains (e.g., retail, airline, telecom) where the agent must follow policies while helping a user through multi-turn problems. It emphasizes robust dialogue state tracking, correct API usage, and handling adversarial or ambiguous user behavior without violating constraints.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control, Social Reasoning & Theory of Mind",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests “fluid” abstraction and generalization by presenting a few input–output grid examples and asking models to infer the underlying rule to transform a new input grid. The tasks are designed to be novel and compositional, discouraging memorization and rewarding flexible hypothesis formation and rule induction.","L1: Visual Perception
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous performance in a simulated business setting where an agent manages a vending-machine operation over an extended period. Success requires maintaining coherent goals, optimizing inventory/pricing/supplier interactions, and adapting strategies as conditions change across many decisions.","L1: 
L2: Planning, Decision-making, Reward Mechanisms, Working Memory, Episodic Memory, Semantic Understanding & Context Recognition
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a challenging, broad benchmark intended to probe frontier reasoning and knowledge across disciplines, often including multimodal questions and tasks requiring deep synthesis. It aims to reduce shortcut solutions by using difficult, diverse items that stress careful reasoning rather than shallow pattern matching.","L1: Language Comprehension, Visual Perception
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Scene Understanding & Visual Reasoning, Multisensory Integration
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of competition-style mathematics problems that require multi-step symbolic reasoning, algebraic manipulation, and careful constraint tracking. Performance is sensitive to logical consistency and error checking across several intermediate steps rather than single-fact recall.","L1: 
L2: Logical Reasoning, Working Memory, Adaptive Error Correction, Planning
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a difficult multiple-choice science benchmark curated to be “Google-proof,” emphasizing reasoning over rote retrieval. The Diamond subset targets high-quality questions where experts reliably agree on the correct answer and non-experts tend to fail, increasing the need for deep conceptual understanding.","L1: Language Comprehension
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends broad academic knowledge testing to multiple languages, covering many subjects and requiring consistent performance across diverse linguistic contexts. It probes whether models preserve reasoning and domain knowledge when comprehension and expression shift across languages.","L1: Language Comprehension, Language Production
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro evaluates multimodal expert-level understanding by combining images (e.g., diagrams, charts, figures) with questions spanning multiple disciplines. It stresses integrating visual evidence with text instructions and domain knowledge to perform high-level reasoning.","L1: Visual Perception, Language Comprehension
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Working Memory
L3: ",L2
