Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring them to produce a patch that makes a project’s tests pass. The Verified subset uses tasks that have been validated as solvable and includes stronger, more reliable evaluation of correctness via tests and human verification.","Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making, Language Comprehension, Language Production, Semantic Understanding & Context Recognition"
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a more challenging software engineering benchmark with a larger and harder set of real-world issues, designed to be more contamination-resistant and representative of professional development work. It emphasizes end-to-end problem solving in realistic repositories, often spanning multiple files and requiring careful adherence to project conventions and tests.","Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making, Language Comprehension, Language Production, Semantic Understanding & Context Recognition"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures a model’s ability to do “deep research” by finding and synthesizing information from the web (or a controlled web-like corpus) to answer difficult questions. Success depends on decomposing queries, selecting sources, cross-checking evidence, and producing a supported final response.","Planning, Decision-making, Attention, Working Memory, Episodic Memory, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Self-reflection"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates interactive agent behavior in multi-turn customer-support scenarios (e.g., retail, airline, telecom) with simulated users and APIs, emphasizing policy compliance and task completion. It stresses whether agents can use tools correctly over long dialogues while following domain constraints and avoiding loopholes.","Social Reasoning & Theory of Mind, Inhibitory Control, Planning, Decision-making, Working Memory, Language Comprehension, Language Production, Adaptive Error Correction, Attention"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI tests fluid reasoning via abstract grid-based puzzles where the model must infer a hidden transformation rule from a few examples and apply it to a new input. It is intended to reward generalization and novel pattern induction rather than memorized knowledge.,"Logical Reasoning, Working Memory, Cognitive Flexibility, Spatial Representation & Mapping, Visual Perception, Scene Understanding & Visual Reasoning, Attention"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use competency through the Model Context Protocol (MCP), requiring models to discover tools, call them with correct arguments, handle errors, and synthesize outputs. Tasks are multi-step workflows resembling production API usage across heterogeneous services.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Attention, Language Comprehension, Language Production, Semantic Understanding & Context Recognition"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a difficult, frontier-knowledge benchmark spanning many domains and including multimodal questions, designed to probe capabilities near the limits of current models. It emphasizes robust reasoning and synthesis under sparse or non-obvious cues, sometimes with optional tool use depending on the evaluation setting.","Language Comprehension, Language Production, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition, Visual Perception, Scene Understanding & Visual Reasoning, Multisensory Integration, Attention"
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates competition-style mathematics on problems that typically require multi-step derivations, algebraic manipulation, and careful case analysis. It is often used to test non-trivial symbolic reasoning under time/attempt constraints (e.g., pass@1).","Logical Reasoning, Working Memory, Planning, Cognitive Flexibility, Attention"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a curated subset of extremely challenging graduate-level science multiple-choice questions intended to be “Google-proof” and to require real scientific reasoning. The Diamond split focuses on high-quality items where experts reliably answer correctly while non-experts tend to fail.,"Language Comprehension, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition, Attention"
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends broad academic knowledge and reasoning evaluation into many non-English languages across dozens of subjects. It tests whether models can understand and answer subject-matter questions consistently across languages, not just in English.","Language Comprehension, Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Attention"
